sentence_id,sentence_label,sentence_text
1,1,"[['know', 'time', 'Its', 'easy', 'answer']]"
2,1,"[['alright', 'talking']]"
3,1,"[['Good', 'Luck', 'Girl']]"
5,1,"[['hotel', 'tv']]"
7,1,"[['Bed', 'Breakfast', 'Owner', 'love', 'industry'], ['Incredibly', 'enriching', 'meeting', 'people', 'world'], ['Made', 'great', 'new', 'friends']]"
8,1,"[['wife', 'said', 'behaves', 'buy'], ['Sounds', 'pretty', 'good', 'right']]"
9,1,[['BACK']]
14,1,"[['Just', 'installed', 'iPod'], ['I', 'excited'], ['neat']]"
16,1,"[['Champs'], ['Franklin', 'I', 'WAS', 'THERE'], ['WILD', 'CRAZY'], ['Nothing', 'like', 'EVER']]"
20,1,"[['Hi', 'I'], ['I', 'phone', 'day', 'long', 'catching', 'calls', 'making', 'plans', 'executing', 'strategy'], ['It', 'good', 'day']]"
21,1,[['one']]
22,1,"[['sick', 'I', 'found', 'best', 'medicine']]"
24,1,"[['turn', 'look', 'future', 'interesting', 'times', 'ahead']]"
27,1,"[['means', 'u', 'go', 'shop', 'new', 'pants']]"
29,1,"[['Time', 'bed']]"
30,1,"[['damn', 'house', 'wants', 'offered', 'may', 'reach', 'though']]"
31,1,"[['good', 'morning', 'internet'], ['iPod', 'touch', 'might', 'come', 'today', 'even', 'I', 'using', 'sunday']]"
34,1,"[['tell', 'sister', 'fixed']]"
37,1,"[['ok', 'racing', 'weekend', 'dm', 'picture', 'car', 'amp', 'make', 'model'], ['put', 'blog']]"
38,1,"[['Laptop', 'doctor', 'arrived', 'moment', 'touched', 'comp', 'worked'], ['man', 'look', 'working', 'computer', 'brilliant']]"
39,1,"[['eating', 'ice', 'cream']]"
41,1,"[['figuring', 'adding', 'twitter']]"
42,1,"[['Let', 'know', 'I', 'long', 'list', 'great', 'designers']]"
43,1,"[['Just', 'observed', 'update', 'look', 'website', 'looks', 'great', 'seems', 'improving']]"
44,1,"[['But', 'still', 'good', 'mentioned']]"
