sentence_id,sentence_label,sentence_text
1,1,know something time easy answer
2,1,alright talking
3,1,good luck girl
5,1,thats hotel tvs ya
7,1,bed breakfast owner love industry incredibly enriching meeting people world made great new friends
8,1,nah wife said behaves shed buy churro haha sounds pretty good right
9,1,ebtmcom back
14,1,installed facebook twitterific apps ipod im excited neat
16,1,unc ncaa champs franklin st wild crazy nothing like itever
20,1,hi im ive phone day long catching calls making plans executing strategy good day
21,1,one
22,1,btw youre sick found best medicine
24,1,turn look future interesting times ahead
27,1,means u go shop new pants
29,1,time bed
30,1,damn house wants offeredughmay reach though
31,1,good morning internet ipod touch might come today even im using sunday
34,1,tell sister fixed
37,1,ok everyone whos racing weekend dm picture car amp make model ill put blog
38,1,laptop doctor arrived moment touched comp worked � man look working computer brilliant
39,1,eating ice cream
41,1,figuring facebook adding twitter celebs
42,1,let know think long list great designers
43,1,observed update look website looks great seems alexa improving
44,1,still good mentioned huh
45,1,lolahhthere really come back pardon pun
48,1,want life eat lollipops twitter
51,1,omg indian home minister got shoe like bush got last time difference bw chidambaram bush
52,1,abt u r heart u want go biz love different question lol
54,1,haha brain hurts work
58,1,added nst
61,1,drew cute baby zebra think favorite far
64,1,woohoo beat ass typeraceronce
66,1,four days till get see girlfriend
67,1,love sense humour fired burnt whats happening world week
69,1,dont size r u
73,1,yes found good sized photo
75,1,reading david wells courage protestant marketeers amp emergents run life
76,1,lol esp updates hit phone
77,1,im proud father two sons
81,1,meeee tooooo freezing outside dont want miss job
82,1,finally going bed
84,1,exceptional daydont ya luv everything goes smoothly heaps done luv follow extra god promptings
85,1,beach boyfriend enjoying scenery
87,1,oops sorry dude ill go get ill looking forward tweets
89,1,outubecomtitomiwatch videoscommentampsuscribe amp follow cheers x
92,1,wittercomgoseegg add baby
93,1,feeling better ill finei guessi hope
94,1,already
95,1,next youll using glue stick chapstick
98,1,heyyyyyy want hook lol
99,1,love writing letters complaint always forget mail em im agentofchange head lol
100,1,check
101,1,second
102,1,one kids didnt go many holidays much organize lol
103,1,hahah yeah see told coffee beans chocolate ice blended way better let know hows show tonight
104,1,yup memorized whole site
105,1,im skiving work totally cant bovvered today
107,1,great news cant wait see live sd
108,1,holy crap havent updated forever came say ill try update good night
109,1,hahaha yeah thats ozzy said
112,1,thats gh send later since completley missed fridays lyrics
115,1,class surprised bday cake lit class best bday surprise loooooonnnng
116,1,heyyyyy fred love ur fred videos amp keep thinking tweets th fred voice crack lol ily
118,1,love reading tweets would nice see lovely mug read wheres picture
119,1,birthday juneeither razorblade romance deep shadows brilliant highlights would cool
121,1,hey mi r u p greetings poland
